Category,Date,Title,Link
日本人学生宿舎情報/Housing Information for Japanese Students,2023.07.04,目白台ビレッジ 2023年度秋季RA募集,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/dormitory_nihonjin/17769/
日本人学生宿舎情報/Housing Information for Japanese Students,2023.01.04,R５国際交流館・日本人学生の入居者募集について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/15002/
日本人学生宿舎情報/Housing Information for Japanese Students,2022.12.27,"【東大生協1/27,28, 2/17,18】柏キャンパス住まい相談会開催のご案内/The University of Tokyo Co-op Housing Consultation (Kashiwa Campus)",https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/dormitory_nihonjin/14950/
日本人学生宿舎情報/Housing Information for Japanese Students,2022.01.07,R4東京国際交流館・日本人学生の入居者募集について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/dormitory_nihonjin/7944/
ジョブイベント/Job Fair,2023.08.01,【ASIALink】「24卒理系留学生のための求人説明会」のご案内,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18074/
ジョブイベント/Job Fair,2023.08.01,【（株）ミツトヨ】夏季１dayインターンシップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18071/
ジョブイベント/Job Fair,2023.07.27,[（株）ＵＳＥ]2023年8月開催会社説明会/インターンシップ/求人票,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18028/
ジョブイベント/Job Fair,2023.07.27,【産総研 生命工学領域】修士型研究員公募および説明会のお知らせ￼,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18023/
ジョブイベント/Job Fair,2023.07.24,【古河電気工業（株）】求人票・夏季１dayワークショップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17984/
求人票/ Job Offer Information,2023.07.27,[（株）ＵＳＥ]2023年8月開催会社説明会/インターンシップ/求人票,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18028/
求人票/ Job Offer Information,2023.07.24,【古河電気工業（株）】求人票・夏季１dayワークショップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17984/
求人票/ Job Offer Information,2023.06.27,【（株）ユー・エス・イー】2023年7月開催会社説明会及び求人票のご案内,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17686/
求人票/ Job Offer Information,2023.06.05,【（株）アイヴィス】求人票,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/kyujinhyou/17439/
求人票/ Job Offer Information,2023.05.29,【（株）USE】６月開催Web説明会のご案内,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17319/
民間インターンシップ/Internship at private company,2023.08.01,【（株）ミツトヨ】夏季１dayインターンシップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18071/
民間インターンシップ/Internship at private company,2023.07.27,[（株）ＵＳＥ]2023年8月開催会社説明会/インターンシップ/求人票,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18028/
民間インターンシップ/Internship at private company,2023.06.22,【JR東日本】インターンシップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/minkan-internship/17649/
民間インターンシップ/Internship at private company,2023.06.22,【日欧産業協力センター】在ＥＵ企業インターンシップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/minkan-internship/17646/
民間インターンシップ/Internship at private company,2023.06.05,【スズキ㈱】2025年卒学生向け夏季1weekインターンシップのご案内,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/minkan-internship/17424/
官公庁インターンシップ/Internship at government administration office(mainly for Japanese Students),2023.07.07,東京矯正管区「少年院・少年鑑別所オンライン業務説明会（夏季）」,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17833/
官公庁インターンシップ/Internship at government administration office(mainly for Japanese Students),2023.07.04,2023年度原子力規制庁（夏季）体験プログラムについて,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/intern_application/17758/
官公庁インターンシップ/Internship at government administration office(mainly for Japanese Students),2023.06.19,2023年度環境省インターンシップ（本省）について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/intern_application/17592/
官公庁インターンシップ/Internship at government administration office(mainly for Japanese Students),2023.05.25,【直接応募】2023年度東京都庁インターンシップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/intern_application/17255/
官公庁インターンシップ/Internship at government administration office(mainly for Japanese Students),2023.05.22,2023年度国土技術政策総合研究所夏期実習について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/intern_application/17150/
教職関係/ Teaching Profession,2023.07.26,東京大学教育学部附属中等教育学校での「生成系AI等を活用した評価システムの構築」募集！！,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/18014/
教職関係/ Teaching Profession,2023.07.18,令和５年度 教育職員免許状大学一括申請について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/17902/
教職関係/ Teaching Profession,2023.07.05,自由の森学園における学校インターンシッププログラム,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/kyoshoku/17818/
教職関係/ Teaching Profession,2023.06.22,＜再掲＞【重要】令和６年度実施の教育実習・介護等体験・教職実践演習,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/17660/
教職関係/ Teaching Profession,2023.06.01,【教育学部】自由の森学園における学校インターンシッププログラム,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/kyoshoku/17359/
一般掲示・イベント情報 （ジョブイベント以外）/General Information・Event Information(except job fair),2023.07.18,東京フィルハーモニー交響楽団 定期演奏会 学生券のご案内 Tokyo Philharmonic Orchestra Students tickets information,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/current-events/17925/
一般掲示・イベント情報 （ジョブイベント以外）/General Information・Event Information(except job fair),2023.07.06,【UGIP(SoftBankプレイベント)】￼教育の在り方をアップデート!ChatGPT活用アイデアソン,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/current-events/17826/
一般掲示・イベント情報 （ジョブイベント以外）/General Information・Event Information(except job fair),2023.06.30,【社連課】福島県北塩原村モデルツアーについて（7/16～18）,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/current-events/17705/
